name Simple DTS
init {'Base7':1}
;
r0 {'prop':{'r0'}, 'position': (1.07, 2.37, 0.40)}
r157 r228 {'duration': 1, 'edge_weight': 1.514000}
r157 r229 {'duration': 1, 'edge_weight': 1.100000}
r157 r230 {'duration': 1, 'edge_weight': 1.514000}
r157 r240 {'duration': 1, 'edge_weight': 1.650000}
r157 r241 {'duration': 1, 'edge_weight': 1.514000}
r157 r242 {'duration': 1, 'edge_weight': 1.650000}
r158 r73 {'duration': 1, 'edge_weight': 1.650000}
r158 r74 {'duration': 1, 'edge_weight': 1.514000}
r158 r75 {'duration': 1, 'edge_weight': 1.650000}
r158 r85 {'duration': 1, 'edge_weight': 1.514000}
r158 r86 {'duration': 1, 'edge_weight': 1.100000}
r158 r87 {'duration': 1, 'edge_weight': 1.514000}
r158 r99 {'duration': 1, 'edge_weight': 1.650000}
r158 r145 {'duration': 1, 'edge_weight': 1.414000}
r158 r146 {'duration': 1, 'edge_weight': 1.000000}
r158 r147 {'duration': 1, 'edge_weight': 1.414000}
r158 r157 {'duration': 1, 'edge_weight': 1.000000}
r158 r158 {'duration': 1, 'edge_weight': 0.500000}
r158 r159 {'duration': 1, 'edge_weight': 1.000000}
r158 r171 {'duration': 1, 'edge_weight': 1.414000}
r158 r217 {'duration': 1, 'edge_weight': 1.650000}
r158 r218 {'duration': 1, 'edge_weight': 1.514000}
r158 r219 {'duration': 1, 'edge_weight': 1.650000}
r158 r229 {'duration': 1, 'edge_weight': 1.514000}
r158 r230 {'duration': 1, 'edge_weight': 1.100000}
r158 r231 {'duration': 1, 'edge_weight': 1.514000}
r158 r241 {'duration': 1, 'edge_weight': 1.650000}
r158 r242 {'duration': 1, 'edge_weight': 1.514000}
r158 r243 {'duration': 1, 'edge_weight': 1.650000}
r159 r74 {'duration': 1, 'edge_weight': 1.650000}
r159 r75 {'duration': 1, 'edge_weight': 1.514000}
r159 r76 {'duration': 1, 'edge_weight': 1.650000}
r159 r86 {'duration': 1, 'edge_weight': 1.514000}
r159 r87 {'duration': 1, 'edge_weight': 1.100000}
r159 r88 {'duration': 1, 'edge_weight': 1.514000}
r159 r99 {'duration': 1, 'edge_weight': 1.514000}
r159 r100 {'duration': 1, 'edge_weight': 1.650000}
r159 r146 {'duration': 1, 'edge_weight': 1.414000}
r159 r147 {'duration': 1, 'edge_weight': 1.000000}
r159 r148 {'duration': 1, 'edge_weight': 1.414000}
r159 r158 {'duration': 1, 'edge_weight': 1.000000}
r159 r159 {'duration': 1, 'edge_weight': 0.500000}
r159 r160 {'duration': 1, 'edge_weight': 1.000000}
r159 r171 {'duration': 1, 'edge_weight': 1.000000}
r159 r172 {'duration': 1, 'edge_weight': 1.414000}
r159 r218 {'duration': 1, 'edge_weight': 1.650000}
r159 r219 {'duration': 1, 'edge_weight': 1.514000}
r159 r220 {'duration': 1, 'edge_weight': 1.650000}
r159 r230 {'duration': 1, 'edge_weight': 1.514000}
r159 r231 {'duration': 1, 'edge_weight': 1.100000}
r159 r232 {'duration': 1, 'edge_weight': 1.514000}
r159 r242 {'duration': 1, 'edge_weight': 1.650000}
r159 r243 {'duration': 1, 'edge_weight': 1.514000}
r159 r244 {'duration': 1, 'edge_weight': 1.650000}
r160 r75 {'duration': 1, 'edge_weight': 1.650000}
r160 r76 {'duration': 1, 'edge_weight': 1.514000}
r160 r77 {'duration': 1, 'edge_weight': 1.650000}
r160 r87 {'duration': 1, 'edge_weight': 1.514000}
r160 r88 {'duration': 1, 'edge_weight': 1.100000}
r160 r89 {'duration': 1, 'edge_weight': 1.514000}
r160 r99 {'duration': 1, 'edge_weight': 1.650000}
r160 r100 {'duration': 1, 'edge_weight': 1.514000}
r160 r147 {'duration': 1, 'edge_weight': 1.414000}
r160 r148 {'duration': 1, 'edge_weight': 1.000000}
r160 r149 {'duration': 1, 'edge_weight': 1.414000}
r160 r159 {'duration': 1, 'edge_weight': 1.000000}
r160 r160 {'duration': 1, 'edge_weight': 0.500000}
r160 r161 {'duration': 1, 'edge_weight': 1.000000}
r160 r171 {'duration': 1, 'edge_weight': 1.414000}
r160 r172 {'duration': 1, 'edge_weight': 1.000000}
r160 r219 {'duration': 1, 'edge_weight': 1.650000}
r160 r220 {'duration': 1, 'edge_weight': 1.514000}
r160 r221 {'duration': 1, 'edge_weight': 1.650000}
r160 r231 {'duration': 1, 'edge_weight': 1.514000}
r160 r232 {'duration': 1, 'edge_weight': 1.100000}
r160 r233 {'duration': 1, 'edge_weight': 1.514000}
r160 r243 {'duration': 1, 'edge_weight': 1.650000}
r160 r244 {'duration': 1, 'edge_weight': 1.514000}
r161 r76 {'duration': 1, 'edge_weight': 1.650000}
r161 r77 {'duration': 1, 'edge_weight': 1.514000}
r161 r78 {'duration': 1, 'edge_weight': 1.650000}
r161 r88 {'duration': 1, 'edge_weight': 1.514000}
r161 r89 {'duration': 1, 'edge_weight': 1.100000}
r161 r90 {'duration': 1, 'edge_weight': 1.514000}
r161 r100 {'duration': 1, 'edge_weight': 1.650000}
r161 r102 {'duration': 1, 'edge_weight': 1.650000}
r161 r148 {'duration': 1, 'edge_weight': 1.414000}
r161 r149 {'duration': 1, 'edge_weight': 1.000000}
r161 r150 {'duration': 1, 'edge_weight': 1.414000}
r161 r160 {'duration': 1, 'edge_weight': 1.000000}
r161 r161 {'duration': 1, 'edge_weight': 0.500000}
r161 r162 {'duration': 1, 'edge_weight': 1.000000}
r161 r172 {'duration': 1, 'edge_weight': 1.414000}
r161 r174 {'duration': 1, 'edge_weight': 1.414000}
r161 r220 {'duration': 1, 'edge_weight': 1.650000}
r161 r221 {'duration': 1, 'edge_weight': 1.514000}
r161 r222 {'duration': 1, 'edge_weight': 1.650000}
r161 r232 {'duration': 1, 'edge_weight': 1.514000}
r161 r233 {'duration': 1, 'edge_weight': 1.100000}
r161 r234 {'duration': 1, 'edge_weight': 1.514000}
r161 r244 {'duration': 1, 'edge_weight': 1.650000}
r161 r246 {'duration': 1, 'edge_weight': 1.650000}
r162 r77 {'duration': 1, 'edge_weight': 1.650000}
r162 r78 {'duration': 1, 'edge_weight': 1.514000}
r162 r89 {'duration': 1, 'edge_weight': 1.514000}
r162 r90 {'duration': 1, 'edge_weight': 1.100000}
r162 r102 {'duration': 1, 'edge_weight': 1.514000}
r162 r103 {'duration': 1, 'edge_weight': 1.650000}
r162 r149 {'duration': 1, 'edge_weight': 1.414000}
r162 r150 {'duration': 1, 'edge_weight': 1.000000}
r162 r161 {'duration': 1, 'edge_weight': 1.000000}
r162 r162 {'duration': 1, 'edge_weight': 0.500000}
r162 r174 {'duration': 1, 'edge_weight': 1.000000}
r162 r175 {'duration': 1, 'edge_weight': 1.414000}
r162 r221 {'duration': 1, 'edge_weight': 1.650000}
r162 r222 {'duration': 1, 'edge_weight': 1.514000}
r162 r223 {'duration': 1, 'edge_weight': 1.650000}
r162 r233 {'duration': 1, 'edge_weight': 1.514000}
r162 r234 {'duration': 1, 'edge_weight': 1.100000}
r162 r235 {'duration': 1, 'edge_weight': 1.514000}
r162 r246 {'duration': 1, 'edge_weight': 1.514000}
r162 r247 {'duration': 1, 'edge_weight': 1.650000}
r164 r80 {'duration': 1, 'edge_weight': 1.514000}
r164 r81 {'duration': 1, 'edge_weight': 1.650000}
r164 r92 {'duration': 1, 'edge_weight': 1.100000}
r164 r93 {'duration': 1, 'edge_weight': 1.514000}
r164 r103 {'duration': 1, 'edge_weight': 1.650000}
r164 r104 {'duration': 1, 'edge_weight': 1.514000}
r164 r105 {'duration': 1, 'edge_weight': 1.650000}
r164 r152 {'duration': 1, 'edge_weight': 1.000000}
r164 r153 {'duration': 1, 'edge_weight': 1.414000}
r164 r164 {'duration': 1, 'edge_weight': 0.500000}
r164 r165 {'duration': 1, 'edge_weight': 1.000000}
r164 r175 {'duration': 1, 'edge_weight': 1.414000}
r164 r176 {'duration': 1, 'edge_weight': 1.000000}
r164 r177 {'duration': 1, 'edge_weight': 1.414000}
r164 r223 {'duration': 1, 'edge_weight': 1.650000}
r164 r224 {'duration': 1, 'edge_weight': 1.514000}
r164 r225 {'duration': 1, 'edge_weight': 1.650000}
r164 r235 {'duration': 1, 'edge_weight': 1.514000}
r164 r236 {'duration': 1, 'edge_weight': 1.100000}
r164 r237 {'duration': 1, 'edge_weight': 1.514000}
r164 r247 {'duration': 1, 'edge_weight': 1.650000}
r164 r248 {'duration': 1, 'edge_weight': 1.514000}
r164 r249 {'duration': 1, 'edge_weight': 1.650000}
r165 r80 {'duration': 1, 'edge_weight': 1.650000}
r165 r81 {'duration': 1, 'edge_weight': 1.514000}
r165 r82 {'duration': 1, 'edge_weight': 1.650000}
r165 r92 {'duration': 1, 'edge_weight': 1.514000}
r165 r93 {'duration': 1, 'edge_weight': 1.100000}
r165 r94 {'duration': 1, 'edge_weight': 1.514000}
r165 r104 {'duration': 1, 'edge_weight': 1.650000}
r165 r105 {'duration': 1, 'edge_weight': 1.514000}
r165 r106 {'duration': 1, 'edge_weight': 1.650000}
r165 r152 {'duration': 1, 'edge_weight': 1.414000}
r165 r153 {'duration': 1, 'edge_weight': 1.000000}
r165 r154 {'duration': 1, 'edge_weight': 1.414000}
r165 r164 {'duration': 1, 'edge_weight': 1.000000}
r165 r165 {'duration': 1, 'edge_weight': 0.500000}
r165 r166 {'duration': 1, 'edge_weight': 1.000000}
r165 r176 {'duration': 1, 'edge_weight': 1.414000}
r165 r177 {'duration': 1, 'edge_weight': 1.000000}
r165 r178 {'duration': 1, 'edge_weight': 1.414000}
r165 r224 {'duration': 1, 'edge_weight': 1.650000}
r165 r225 {'duration': 1, 'edge_weight': 1.514000}
r165 r226 {'duration': 1, 'edge_weight': 1.650000}
r165 r236 {'duration': 1, 'edge_weight': 1.514000}
r165 r237 {'duration': 1, 'edge_weight': 1.100000}
r165 r238 {'duration': 1, 'edge_weight': 1.514000}
r165 r248 {'duration': 1, 'edge_weight': 1.650000}
r165 r249 {'duration': 1, 'edge_weight': 1.514000}
r165 r250 {'duration': 1, 'edge_weight': 1.650000}
r166 r81 {'duration': 1, 'edge_weight': 1.650000}
r166 r82 {'duration': 1, 'edge_weight': 1.514000}
r166 r83 {'duration': 1, 'edge_weight': 1.650000}
r166 r93 {'duration': 1, 'edge_weight': 1.514000}
r166 r94 {'duration': 1, 'edge_weight': 1.100000}
r166 r95 {'duration': 1, 'edge_weight': 1.514000}
r166 r105 {'duration': 1, 'edge_weight': 1.650000}
r166 r106 {'duration': 1, 'edge_weight': 1.514000}
r166 r153 {'duration': 1, 'edge_weight': 1.414000}
r166 r154 {'duration': 1, 'edge_weight': 1.000000}
r166 r155 {'duration': 1, 'edge_weight': 1.414000}
r166 r165 {'duration': 1, 'edge_weight': 1.000000}
r166 r166 {'duration': 1, 'edge_weight': 0.500000}
r166 r167 {'duration': 1, 'edge_weight': 1.000000}
r166 r177 {'duration': 1, 'edge_weight': 1.414000}
r166 r178 {'duration': 1, 'edge_weight': 1.000000}
r166 r225 {'duration': 1, 'edge_weight': 1.650000}
r166 r226 {'duration': 1, 'edge_weight': 1.514000}
r166 r227 {'duration': 1, 'edge_weight': 1.650000}
r166 r237 {'duration': 1, 'edge_weight': 1.514000}
r166 r238 {'duration': 1, 'edge_weight': 1.100000}
r166 r239 {'duration': 1, 'edge_weight': 1.514000}
r166 r249 {'duration': 1, 'edge_weight': 1.650000}
r166 r250 {'duration': 1, 'edge_weight': 1.514000}
r166 r251 {'duration': 1, 'edge_weight': 1.650000}
r167 r82 {'duration': 1, 'edge_weight': 1.650000}
r167 r83 {'duration': 1, 'edge_weight': 1.514000}
r167 r94 {'duration': 1, 'edge_weight': 1.514000}
r167 r95 {'duration': 1, 'edge_weight': 1.100000}
r167 r106 {'duration': 1, 'edge_weight': 1.650000}
r167 r154 {'duration': 1, 'edge_weight': 1.414000}
r167 r155 {'duration': 1, 'edge_weight': 1.000000}
r167 r166 {'duration': 1, 'edge_weight': 1.000000}
r167 r167 {'duration': 1, 'edge_weight': 0.500000}
r167 r178 {'duration': 1, 'edge_weight': 1.414000}
r167 r226 {'duration': 1, 'edge_weight': 1.650000}
r167 r227 {'duration': 1, 'edge_weight': 1.514000}
r167 r238 {'duration': 1, 'edge_weight': 1.514000}
r167 r239 {'duration': 1, 'edge_weight': 1.100000}
r167 r250 {'duration': 1, 'edge_weight': 1.650000}
r167 r251 {'duration': 1, 'edge_weight': 1.514000}
r168 r84 {'duration': 1, 'edge_weight': 1.514000}
r168 r85 {'duration': 1, 'edge_weight': 1.650000}
r168 r96 {'duration': 1, 'edge_weight': 1.100000}
r168 r108 {'duration': 1, 'edge_weight': 1.514000}
r168 r109 {'duration': 1, 'edge_weight': 1.650000}
r168 r156 {'duration': 1, 'edge_weight': 1.000000}
r168 r157 {'duration': 1, 'edge_weight': 1.414000}
r168 r168 {'duration': 1, 'edge_weight': 0.500000}
r168 r180 {'duration': 1, 'edge_weight': 1.000000}
r168 r181 {'duration': 1, 'edge_weight': 1.414000}
r168 r228 {'duration': 1, 'edge_weight': 1.514000}
r168 r229 {'duration': 1, 'edge_weight': 1.650000}
r168 r240 {'duration': 1, 'edge_weight': 1.100000}
r168 r241 {'duration': 1, 'edge_weight': 1.514000}
r168 r252 {'duration': 1, 'edge_weight': 1.514000}
r168 r253 {'duration': 1, 'edge_weight': 1.650000}
r171 r86 {'duration': 1, 'edge_weight': 1.650000}
r171 r87 {'duration': 1, 'edge_weight': 1.514000}
r171 r88 {'duration': 1, 'edge_weight': 1.650000}
r171 r99 {'duration': 1, 'edge_weight': 1.100000}
r171 r100 {'duration': 1, 'edge_weight': 1.514000}
r171 r111 {'duration': 1, 'edge_weight': 1.514000}
r171 r112 {'duration': 1, 'edge_weight': 1.650000}
r171 r158 {'duration': 1, 'edge_weight': 1.414000}
r171 r159 {'duration': 1, 'edge_weight': 1.000000}
r171 r160 {'duration': 1, 'edge_weight': 1.414000}
r171 r171 {'duration': 1, 'edge_weight': 0.500000}
r171 r172 {'duration': 1, 'edge_weight': 1.000000}
r171 r183 {'duration': 1, 'edge_weight': 1.000000}
r171 r184 {'duration': 1, 'edge_weight': 1.414000}
r171 r230 {'duration': 1, 'edge_weight': 1.650000}
r171 r231 {'duration': 1, 'edge_weight': 1.514000}
r171 r232 {'duration': 1, 'edge_weight': 1.650000}
r171 r242 {'duration': 1, 'edge_weight': 1.514000}
r171 r243 {'duration': 1, 'edge_weight': 1.100000}
r171 r244 {'duration': 1, 'edge_weight': 1.514000}
r171 r254 {'duration': 1, 'edge_weight': 1.650000}
r171 r255 {'duration': 1, 'edge_weight': 1.514000}
r171 r256 {'duration': 1, 'edge_weight': 1.650000}
r172 r87 {'duration': 1, 'edge_weight': 1.650000}
r172 r88 {'duration': 1, 'edge_weight': 1.514000}
r172 r89 {'duration': 1, 'edge_weight': 1.650000}
r172 r99 {'duration': 1, 'edge_weight': 1.514000}
r172 r100 {'duration': 1, 'edge_weight': 1.100000}
r172 r111 {'duration': 1, 'edge_weight': 1.650000}
r172 r112 {'duration': 1, 'edge_weight': 1.514000}
r172 r113 {'duration': 1, 'edge_weight': 1.650000}
r172 r159 {'duration': 1, 'edge_weight': 1.414000}
r172 r160 {'duration': 1, 'edge_weight': 1.000000}
r172 r161 {'duration': 1, 'edge_weight': 1.414000}
r172 r171 {'duration': 1, 'edge_weight': 1.000000}
r172 r172 {'duration': 1, 'edge_weight': 0.500000}
r172 r183 {'duration': 1, 'edge_weight': 1.414000}
r172 r184 {'duration': 1, 'edge_weight': 1.000000}
r172 r185 {'duration': 1, 'edge_weight': 1.414000}
r172 r231 {'duration': 1, 'edge_weight': 1.650000}
r172 r232 {'duration': 1, 'edge_weight': 1.514000}
r172 r233 {'duration': 1, 'edge_weight': 1.650000}
r172 r243 {'duration': 1, 'edge_weight': 1.514000}
r172 r244 {'duration': 1, 'edge_weight': 1.100000}
r172 r255 {'duration': 1, 'edge_weight': 1.650000}
r172 r256 {'duration': 1, 'edge_weight': 1.514000}
r172 r257 {'duration': 1, 'edge_weight': 1.650000}
r174 r89 {'duration': 1, 'edge_weight': 1.650000}
r174 r90 {'duration': 1, 'edge_weight': 1.514000}
r174 r102 {'duration': 1, 'edge_weight': 1.100000}
r174 r103 {'duration': 1, 'edge_weight': 1.514000}
r174 r113 {'duration': 1, 'edge_weight': 1.650000}
r174 r114 {'duration': 1, 'edge_weight': 1.514000}
r174 r115 {'duration': 1, 'edge_weight': 1.650000}
r174 r161 {'duration': 1, 'edge_weight': 1.414000}
r174 r162 {'duration': 1, 'edge_weight': 1.000000}
r174 r174 {'duration': 1, 'edge_weight': 0.500000}
r174 r175 {'duration': 1, 'edge_weight': 1.000000}
r174 r185 {'duration': 1, 'edge_weight': 1.414000}
r174 r186 {'duration': 1, 'edge_weight': 1.000000}
r174 r187 {'duration': 1, 'edge_weight': 1.414000}
r174 r233 {'duration': 1, 'edge_weight': 1.650000}
r174 r234 {'duration': 1, 'edge_weight': 1.514000}
r174 r235 {'duration': 1, 'edge_weight': 1.650000}
r174 r246 {'duration': 1, 'edge_weight': 1.100000}
r174 r247 {'duration': 1, 'edge_weight': 1.514000}
r174 r257 {'duration': 1, 'edge_weight': 1.650000}
r174 r258 {'duration': 1, 'edge_weight': 1.514000}
r174 r259 {'duration': 1, 'edge_weight': 1.650000}
r175 r90 {'duration': 1, 'edge_weight': 1.650000}
r175 r92 {'duration': 1, 'edge_weight': 1.650000}
r175 r102 {'duration': 1, 'edge_weight': 1.514000}
r175 r103 {'duration': 1, 'edge_weight': 1.100000}
r175 r104 {'duration': 1, 'edge_weight': 1.514000}
r175 r114 {'duration': 1, 'edge_weight': 1.650000}
r175 r115 {'duration': 1, 'edge_weight': 1.514000}
r175 r116 {'duration': 1, 'edge_weight': 1.650000}
r175 r162 {'duration': 1, 'edge_weight': 1.414000}
r175 r164 {'duration': 1, 'edge_weight': 1.414000}
r175 r174 {'duration': 1, 'edge_weight': 1.000000}
r175 r175 {'duration': 1, 'edge_weight': 0.500000}
r175 r176 {'duration': 1, 'edge_weight': 1.000000}
r175 r186 {'duration': 1, 'edge_weight': 1.414000}
r175 r187 {'duration': 1, 'edge_weight': 1.000000}
r175 r188 {'duration': 1, 'edge_weight': 1.414000}
r175 r234 {'duration': 1, 'edge_weight': 1.650000}
r175 r235 {'duration': 1, 'edge_weight': 1.514000}
r175 r236 {'duration': 1, 'edge_weight': 1.650000}
r175 r246 {'duration': 1, 'edge_weight': 1.514000}
r175 r247 {'duration': 1, 'edge_weight': 1.100000}
r175 r248 {'duration': 1, 'edge_weight': 1.514000}
r175 r258 {'duration': 1, 'edge_weight': 1.650000}
r175 r259 {'duration': 1, 'edge_weight': 1.514000}
r175 r260 {'duration': 1, 'edge_weight': 1.650000}
r176 r92 {'duration': 1, 'edge_weight': 1.514000}
r176 r93 {'duration': 1, 'edge_weight': 1.650000}
r176 r103 {'duration': 1, 'edge_weight': 1.514000}
r176 r104 {'duration': 1, 'edge_weight': 1.100000}
r176 r105 {'duration': 1, 'edge_weight': 1.514000}
r176 r115 {'duration': 1, 'edge_weight': 1.650000}
r176 r116 {'duration': 1, 'edge_weight': 1.514000}
r176 r117 {'duration': 1, 'edge_weight': 1.650000}
r176 r164 {'duration': 1, 'edge_weight': 1.000000}
r176 r165 {'duration': 1, 'edge_weight': 1.414000}
r176 r175 {'duration': 1, 'edge_weight': 1.000000}
r176 r176 {'duration': 1, 'edge_weight': 0.500000}
r176 r177 {'duration': 1, 'edge_weight': 1.000000}
r176 r187 {'duration': 1, 'edge_weight': 1.414000}
r176 r188 {'duration': 1, 'edge_weight': 1.000000}
r176 r189 {'duration': 1, 'edge_weight': 1.414000}
r176 r235 {'duration': 1, 'edge_weight': 1.650000}
r176 r236 {'duration': 1, 'edge_weight': 1.514000}
r176 r237 {'duration': 1, 'edge_weight': 1.650000}
r176 r247 {'duration': 1, 'edge_weight': 1.514000}
r176 r248 {'duration': 1, 'edge_weight': 1.100000}
r176 r249 {'duration': 1, 'edge_weight': 1.514000}
r176 r259 {'duration': 1, 'edge_weight': 1.650000}
r176 r260 {'duration': 1, 'edge_weight': 1.514000}
r176 r261 {'duration': 1, 'edge_weight': 1.650000}
r177 r92 {'duration': 1, 'edge_weight': 1.650000}
r177 r93 {'duration': 1, 'edge_weight': 1.514000}
r177 r94 {'duration': 1, 'edge_weight': 1.650000}
r177 r104 {'duration': 1, 'edge_weight': 1.514000}
r177 r105 {'duration': 1, 'edge_weight': 1.100000}
r177 r106 {'duration': 1, 'edge_weight': 1.514000}
r177 r116 {'duration': 1, 'edge_weight': 1.650000}
r177 r117 {'duration': 1, 'edge_weight': 1.514000}
r177 r118 {'duration': 1, 'edge_weight': 1.650000}
r177 r164 {'duration': 1, 'edge_weight': 1.414000}
r177 r165 {'duration': 1, 'edge_weight': 1.000000}
r177 r166 {'duration': 1, 'edge_weight': 1.414000}
r177 r176 {'duration': 1, 'edge_weight': 1.000000}
r177 r177 {'duration': 1, 'edge_weight': 0.500000}
r177 r178 {'duration': 1, 'edge_weight': 1.000000}
r177 r188 {'duration': 1, 'edge_weight': 1.414000}
r177 r189 {'duration': 1, 'edge_weight': 1.000000}
r177 r190 {'duration': 1, 'edge_weight': 1.414000}
r177 r236 {'duration': 1, 'edge_weight': 1.650000}
r177 r237 {'duration': 1, 'edge_weight': 1.514000}
r177 r238 {'duration': 1, 'edge_weight': 1.650000}
r177 r248 {'duration': 1, 'edge_weight': 1.514000}
r177 r249 {'duration': 1, 'edge_weight': 1.100000}
r177 r250 {'duration': 1, 'edge_weight': 1.514000}
r177 r260 {'duration': 1, 'edge_weight': 1.650000}
r177 r261 {'duration': 1, 'edge_weight': 1.514000}
r177 r262 {'duration': 1, 'edge_weight': 1.650000}
r178 r93 {'duration': 1, 'edge_weight': 1.650000}
r178 r94 {'duration': 1, 'edge_weight': 1.514000}
r178 r95 {'duration': 1, 'edge_weight': 1.650000}
r178 r105 {'duration': 1, 'edge_weight': 1.514000}
r178 r106 {'duration': 1, 'edge_weight': 1.100000}
r178 r117 {'duration': 1, 'edge_weight': 1.650000}
r178 r118 {'duration': 1, 'edge_weight': 1.514000}
r178 r165 {'duration': 1, 'edge_weight': 1.414000}
r178 r166 {'duration': 1, 'edge_weight': 1.000000}
r178 r167 {'duration': 1, 'edge_weight': 1.414000}
r178 r177 {'duration': 1, 'edge_weight': 1.000000}
r178 r178 {'duration': 1, 'edge_weight': 0.500000}
r178 r189 {'duration': 1, 'edge_weight': 1.414000}
r178 r190 {'duration': 1, 'edge_weight': 1.000000}
r178 r237 {'duration': 1, 'edge_weight': 1.650000}
r178 r238 {'duration': 1, 'edge_weight': 1.514000}
r178 r239 {'duration': 1, 'edge_weight': 1.650000}
r178 r249 {'duration': 1, 'edge_weight': 1.514000}
r178 r250 {'duration': 1, 'edge_weight': 1.100000}
r178 r251 {'duration': 1, 'edge_weight': 1.514000}
r178 r261 {'duration': 1, 'edge_weight': 1.650000}
r178 r262 {'duration': 1, 'edge_weight': 1.514000}
r178 r263 {'duration': 1, 'edge_weight': 1.650000}
r180 r96 {'duration': 1, 'edge_weight': 1.514000}
r180 r108 {'duration': 1, 'edge_weight': 1.100000}
r180 r109 {'duration': 1, 'edge_weight': 1.514000}
r180 r120 {'duration': 1, 'edge_weight': 1.514000}
r180 r121 {'duration': 1, 'edge_weight': 1.650000}
r180 r168 {'duration': 1, 'edge_weight': 1.000000}
r180 r180 {'duration': 1, 'edge_weight': 0.500000}
r180 r181 {'duration': 1, 'edge_weight': 1.000000}
r180 r192 {'duration': 1, 'edge_weight': 1.000000}
r180 r193 {'duration': 1, 'edge_weight': 1.414000}
r180 r240 {'duration': 1, 'edge_weight': 1.514000}
r180 r241 {'duration': 1, 'edge_weight': 1.650000}
r180 r252 {'duration': 1, 'edge_weight': 1.100000}
r180 r253 {'duration': 1, 'edge_weight': 1.514000}
r180 r264 {'duration': 1, 'edge_weight': 1.514000}
r180 r265 {'duration': 1, 'edge_weight': 1.650000}
r181 r96 {'duration': 1, 'edge_weight': 1.650000}
r181 r108 {'duration': 1, 'edge_weight': 1.514000}
r181 r109 {'duration': 1, 'edge_weight': 1.100000}
r181 r120 {'duration': 1, 'edge_weight': 1.650000}
r181 r121 {'duration': 1, 'edge_weight': 1.514000}
r181 r122 {'duration': 1, 'edge_weight': 1.650000}
r181 r168 {'duration': 1, 'edge_weight': 1.414000}
r181 r180 {'duration': 1, 'edge_weight': 1.000000}
r181 r181 {'duration': 1, 'edge_weight': 0.500000}
r181 r192 {'duration': 1, 'edge_weight': 1.414000}
r181 r193 {'duration': 1, 'edge_weight': 1.000000}
r181 r194 {'duration': 1, 'edge_weight': 1.414000}
r181 r240 {'duration': 1, 'edge_weight': 1.650000}
r181 r241 {'duration': 1, 'edge_weight': 1.514000}
r181 r242 {'duration': 1, 'edge_weight': 1.650000}
r181 r252 {'duration': 1, 'edge_weight': 1.514000}
r181 r253 {'duration': 1, 'edge_weight': 1.100000}
r181 r254 {'duration': 1, 'edge_weight': 1.514000}
r181 r264 {'duration': 1, 'edge_weight': 1.650000}
r181 r265 {'duration': 1, 'edge_weight': 1.514000}
r181 r266 {'duration': 1, 'edge_weight': 1.650000}
r183 r99 {'duration': 1, 'edge_weight': 1.514000}
r183 r100 {'duration': 1, 'edge_weight': 1.650000}
r183 r111 {'duration': 1, 'edge_weight': 1.100000}
r183 r112 {'duration': 1, 'edge_weight': 1.514000}
r183 r122 {'duration': 1, 'edge_weight': 1.650000}
r183 r123 {'duration': 1, 'edge_weight': 1.514000}
r183 r171 {'duration': 1, 'edge_weight': 1.000000}
r183 r172 {'duration': 1, 'edge_weight': 1.414000}
r183 r183 {'duration': 1, 'edge_weight': 0.500000}
r183 r184 {'duration': 1, 'edge_weight': 1.000000}
r183 r194 {'duration': 1, 'edge_weight': 1.414000}
r183 r195 {'duration': 1, 'edge_weight': 1.000000}
r183 r196 {'duration': 1, 'edge_weight': 1.414000}
r183 r242 {'duration': 1, 'edge_weight': 1.650000}
r183 r243 {'duration': 1, 'edge_weight': 1.514000}
r183 r244 {'duration': 1, 'edge_weight': 1.650000}
r183 r254 {'duration': 1, 'edge_weight': 1.514000}
r183 r255 {'duration': 1, 'edge_weight': 1.100000}
r183 r256 {'duration': 1, 'edge_weight': 1.514000}
r183 r266 {'duration': 1, 'edge_weight': 1.650000}
r183 r267 {'duration': 1, 'edge_weight': 1.514000}
r183 r268 {'duration': 1, 'edge_weight': 1.650000}
r184 r99 {'duration': 1, 'edge_weight': 1.650000}
r184 r100 {'duration': 1, 'edge_weight': 1.514000}
r184 r111 {'duration': 1, 'edge_weight': 1.514000}
r184 r112 {'duration': 1, 'edge_weight': 1.100000}
r184 r113 {'duration': 1, 'edge_weight': 1.514000}
r184 r123 {'duration': 1, 'edge_weight': 1.650000}
r184 r171 {'duration': 1, 'edge_weight': 1.414000}
r184 r172 {'duration': 1, 'edge_weight': 1.000000}
r184 r183 {'duration': 1, 'edge_weight': 1.000000}
r184 r184 {'duration': 1, 'edge_weight': 0.500000}
r184 r185 {'duration': 1, 'edge_weight': 1.000000}
r184 r195 {'duration': 1, 'edge_weight': 1.414000}
r184 r196 {'duration': 1, 'edge_weight': 1.000000}
r184 r197 {'duration': 1, 'edge_weight': 1.414000}
r184 r243 {'duration': 1, 'edge_weight': 1.650000}
r184 r244 {'duration': 1, 'edge_weight': 1.514000}
r184 r255 {'duration': 1, 'edge_weight': 1.514000}
r184 r256 {'duration': 1, 'edge_weight': 1.100000}
r184 r257 {'duration': 1, 'edge_weight': 1.514000}
r184 r267 {'duration': 1, 'edge_weight': 1.650000}
r184 r268 {'duration': 1, 'edge_weight': 1.514000}
r184 r269 {'duration': 1, 'edge_weight': 1.650000}
r185 r100 {'duration': 1, 'edge_weight': 1.650000}
